"name","r","g","b","h","s","v"
"Pink",255,192,203,248,63,255
"LightPink",255,182,193,249,73,255
"HotPink",255,105,180,234,150,255
"DeepPink",255,20,147,232,235,255
"PaleVioletRed",219,112,147,241,125,219
"MediumVioletRed",199,21,133,228,228,199
"LightSalmon",255,160,122,12,133,255
"Salmon",250,128,114,4,139,250
"DarkSalmon",233,150,122,11,121,233
"LightCoral",240,128,128,0,119,240
"IndianRed",205,92,92,0,141,205
"Crimson",220,20,60,246,232,220
"Firebrick",178,34,34,0,206,178
"DarkRed",139,0,0,0,255,139
"Red",255,0,0,0,255,255
"OrangeRed",255,69,0,12,255,255
"Tomato",255,99,71,6,184,255
"Coral",255,127,80,11,175,255
"DarkOrange",255,140,0,23,255,255
"Orange",255,165,0,28,255,255
"Yellow",255,255,0,42,255,255
"LightYellow",255,255,224,42,31,255
"LemonChiffon",255,250,205,38,50,255
"LightGoldenrodYellow",250,250,210,42,41,250
"PapayaWhip",255,239,213,26,42,255
"Moccasin",255,228,181,27,74,255
"PeachPuff",255,218,185,20,70,255
"PaleGoldenrod",238,232,170,39,73,238
"Khaki",240,230,140,38,106,240
"DarkKhaki",189,183,107,39,111,189
"Gold",255,215,0,36,255,255
"Cornsilk",255,248,220,34,35,255
"BlanchedAlmond",255,235,205,25,50,255
"Bisque",255,228,196,23,59,255
"NavajoWhite",255,222,173,25,82,255
"Wheat",245,222,179,28,69,245
"Burlywood",222,184,135,24,100,222
"Tan",210,180,140,24,85,210
"RosyBrown",188,143,143,0,61,188
"SandyBrown",244,164,96,20,155,244
"Goldenrod",218,165,32,30,218,218
"DarkGoldenrod",184,134,11,30,240,184
"Peru",205,133,63,21,177,205
"Chocolate",210,105,30,18,219,210
"SaddleBrown",139,69,19,18,220,139
"Sienna",160,82,45,14,183,160
"Brown",165,42,42,0,190,165
"Maroon",128,0,0,0,255,128
"DarkOliveGreen",85,107,47,58,143,107
"Olive",128,128,0,42,255,128
"OliveDrab",107,142,35,56,192,142
"YellowGreen",154,205,50,56,193,205
"LimeGreen",50,205,50,85,193,205
"Lime",0,255,0,85,255,255
"LawnGreen",124,252,0,64,255,252
"Chartreuse",127,255,0,64,255,255
"GreenYellow",173,255,47,59,208,255
"SpringGreen",0,255,127,106,255,255
"MediumSpringGreen",0,250,154,111,255,250
"LightGreen",144,238,144,85,101,238
"PaleGreen",152,251,152,85,101,251
"DarkSeaGreen",143,188,143,85,61,188
"MediumAquamarine",102,205,170,113,128,205
"MediumSeaGreen",60,179,113,104,170,179
"SeaGreen",46,139,87,104,171,139
"ForestGreen",34,139,34,85,193,139
"Green",0,128,0,85,255,128
"DarkGreen",0,100,0,85,255,100
"Aqua",0,255,255,128,255,255
"Cyan",0,255,255,128,255,255
"LightCyan",224,255,255,128,31,255
"PaleTurquoise",175,238,238,128,68,238
"Aquamarine",127,255,212,113,128,255
"Turquoise",64,224,208,123,182,224
"MediumTurquoise",72,209,204,126,167,209
"DarkTurquoise",0,206,209,128,255,209
"LightSeaGreen",32,178,170,125,209,178
"CadetBlue",95,158,160,129,104,160
"DarkCyan",0,139,139,128,255,139
"Teal",0,128,128,128,255,128
"LightSteelBlue",176,196,222,152,53,222
"PowderBlue",176,224,230,132,60,230
"LightBlue",173,216,230,138,63,230
"SkyBlue",135,206,235,140,109,235
"LightSkyBlue",135,206,250,144,117,250
"DeepSkyBlue",0,191,255,138,255,255
"DodgerBlue",30,144,255,148,225,255
"CornflowerBlue",100,149,237,155,147,237
"SteelBlue",70,130,180,147,156,180
"RoyalBlue",65,105,225,159,181,225
"Blue",0,0,255,170,255,255
"MediumBlue",0,0,205,170,255,205
"DarkBlue",0,0,139,170,255,139
"Navy",0,0,128,170,255,128
"MidnightBlue",25,25,112,170,198,112
"Lavender",230,230,250,170,20,250
"Thistle",216,191,216,212,30,216
"Plum",221,160,221,212,70,221
"Violet",238,130,238,212,116,238
"Orchid",218,112,214,214,124,218
"Fuchsia",255,0,255,212,255,255
"Magenta",255,0,255,212,255,255
"MediumOrchid",186,85,211,204,152,211
"MediumPurple",147,112,219,184,125,219
"BlueViolet",138,43,226,192,206,226
"DarkViolet",148,0,211,200,255,211
"DarkOrchid",153,50,204,198,193,204
"DarkMagenta",139,0,139,212,255,139
"Purple",128,0,128,212,255,128
"Indigo",75,0,130,195,255,130
"DarkSlateBlue",72,61,139,176,143,139
"SlateBlue",106,90,205,176,143,205
"MediumSlateBlue",123,104,238,176,144,238
"White",255,255,255,0,0,255
"Snow",255,250,250,0,5,255
"Honeydew",240,255,240,85,15,255
"MintCream",245,255,250,106,10,255
"Azure",240,255,255,128,15,255
"AliceBlue",240,248,255,147,15,255
"GhostWhite",248,248,255,170,7,255
"WhiteSmoke",245,245,245,0,0,245
"Seashell",255,245,238,18,17,255
"Beige",245,245,220,42,26,245
"OldLace",253,245,230,28,23,253
"FloralWhite",255,250,240,28,15,255
"Ivory",255,255,240,42,15,255
"AntiqueWhite",250,235,215,24,36,250
"Linen",250,240,230,21,20,250
"LavenderBlush",255,240,245,241,15,255
"MistyRose",255,228,225,4,30,255
"Gainsboro",220,220,220,0,0,220
"LightGray",211,211,211,0,0,211
"Silver",192,192,192,0,0,192
"DarkGray",169,169,169,0,0,169
"Gray",128,128,128,0,0,128
"DimGray",105,105,105,0,0,105
"LightSlateGray",119,136,153,149,57,153
"SlateGray",112,128,144,149,57,144
"DarkSlateGray",47,79,79,128,103,79
"Black",0,0,0,0,0,0
